2021-01-22 19:26:02 |INFO  |http-nio-8081-exec-7 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-22 19:26:02 |INFO  |http-nio-8081-exec-7 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/chapter/nested-list/1350309157980160002 GET
2021-01-22 19:26:02 |INFO  |http-nio-8081-exec-7 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.ChapterController.getNestedListByAnimeId
2021-01-22 19:26:02 |INFO  |http-nio-8081-exec-7 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-22 19:26:53 |INFO  |http-nio-8081-exec-6 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】操作开始 -------------
2021-01-22 19:26:53 |INFO  |http-nio-8081-exec-6 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/user/info GET
2021-01-22 19:26:53 |INFO  |http-nio-8081-exec-6 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.LoginController.info
2021-01-22 19:26:53 |INFO  |http-nio-8081-exec-6 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-22 19:26:53 |INFO  |http-nio-8081-exec-8 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-22 19:26:53 |INFO  |http-nio-8081-exec-8 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/chapter/nested-list/1350309157980160002 GET
2021-01-22 19:26:53 |INFO  |http-nio-8081-exec-8 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.ChapterController.getNestedListByAnimeId
2021-01-22 19:26:53 |INFO  |http-nio-8081-exec-8 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-9 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-9 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/admin/getall GET
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-9 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.AdminController.getAll
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-9 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-2 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-2 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/anime/list/1/5 GET
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-2 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.AnimeController.listPage
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-10 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】操作开始 -------------
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-2 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-10 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/subject/nested-list GET
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-10 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.SubjectController.nestedAnimeSubjectList
2021-01-22 19:26:59 |INFO  |http-nio-8081-exec-10 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-22 19:27:01 |INFO  |http-nio-8081-exec-1 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-22 19:27:01 |INFO  |http-nio-8081-exec-1 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/chapter/nested-list/1350309157980160002 GET
2021-01-22 19:27:01 |INFO  |http-nio-8081-exec-1 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.ChapterController.getNestedListByAnimeId
2021-01-22 19:27:01 |INFO  |http-nio-8081-exec-1 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-3 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-5 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】操作开始 -------------
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-3 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/admin/getall GET
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-5 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/subject/nested-list GET
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-3 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.AdminController.getAll
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-5 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.SubjectController.nestedAnimeSubjectList
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-3 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-5 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-4 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-4 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/anime/list/1/5 GET
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-4 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.AnimeController.listPage
2021-01-22 19:27:04 |INFO  |http-nio-8081-exec-4 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
2021-01-22 19:27:06 |INFO  |http-nio-8081-exec-6 |LogHandler.java:62 |cn.antigenmhc.otaku.service.base.handler.LogHandler |------------- 【GET】查询开始 -------------
2021-01-22 19:27:06 |INFO  |http-nio-8081-exec-6 |LogHandler.java:63 |cn.antigenmhc.otaku.service.base.handler.LogHandler |请求地址: http://127.0.0.1:8081/admin/manager/chapter/nested-list/1350308978929516545 GET
2021-01-22 19:27:06 |INFO  |http-nio-8081-exec-6 |LogHandler.java:64 |cn.antigenmhc.otaku.service.base.handler.LogHandler |类名方法: cn.antigenmhc.otaku.service.manager.controller.admin.ChapterController.getNestedListByAnimeId
2021-01-22 19:27:06 |INFO  |http-nio-8081-exec-6 |LogHandler.java:65 |cn.antigenmhc.otaku.service.base.handler.LogHandler |远程地址: 127.0.0.1
